"eventenglishtitle","eventarabictitle","eventarabicorganizername","eventenglishorganizername","eventstartingdate","eventendingdate","introductiondate","locationinarabic","locationinenglish","eventlogo","eventcategory","maplocationlongitude","maplocationlatitude","createddate","typeofevent"
"Suhour'hm Alaina","سحورهم علينا 2017","مجلس شباب هيئة تنمية المجتمع","CDA Youth Council","05/27/2017 00:00:00","06/24/2017 00:00:00","05/25/2017 00:00:00","سيتم تحديد الموقع لاحقاً","TBA","/StagingImages/EventsImages/f87bd169-c433-413f-bfce-fb2a65372812.JPG","","55.270782800000006","25.2048493","","الاعمال الخيرية"
"Waleef Volunteer","وليف التطوعية","إدارة كبار السن","Elderly Department","12/05/2017 00:00:00","08/13/2018 00:00:00","12/05/2017 00:00:00","إمارة دبي","Dubai City","/StagingImages/EventsImages/57bbf82d-96dc-4d0e-9bca-e8bd774fb1e9.jpg","","55.270782800000006","25.2048493","","إجتماعي"
" Campaign of DAR Al Bar society in Ramadan and Eid","حملة جمعية دار البر برمضان والعيدين","جمعية دار البر","DAR Al Bar society","03/01/2018 00:00:00","07/31/2018 00:00:00","02/28/2018 00:00:00","جمعية دار البر","DAR Al Bar society","/StagingImages/EventsImages/9fac6635-c448-4548-9f63-db767fab787f.png","","55.2707828","25.2048493","","الاعمال الخيرية"
" Volunteer Program for the staff of DAR Al BER society","البرنامج التطوعي لموظفي جمعية دار البر","جمعية دار البر","DAR Al BER society","02/01/2018 00:00:00","12/01/2018 00:00:00","01/31/2018 00:00:00","جمعية دار البر","DAR Al BER society","/StagingImages/EventsImages/0f4b3acc-9b5d-4f8d-b679-8ceb455986bb.png","","55.2707828","25.2048493","","آخر"
"Graphic Design Volunteers","متطوعين في تخصص جرافيك ديزانير  للعمل على تصميم و تنفيذ عدة مشاريع للمؤسسة","مؤسسة دبي لرعاية النساء والأطفال","Dubai Foundation for Women and Children","04/15/2018 00:00:00","05/31/2018 00:00:00","04/12/2018 00:00:00","مؤسسة دبي لرعاية النساء والأطفال","Dubai Foundation for Women and Children","/StagingImages/EventsImages/3d88e982-da08-41b9-95de-b8d5bba7854d.png","","55.50835847854614","25.156501569609375","","الفنون والثقافة"
"Volunteer for Punishing & Correctional Institutions","متطوع للمؤسسات العقابية و الاصلاحية","ادارة الفئات الاكثر عرضة للضرر","Vulnerable Group department","04/01/2018 00:00:00","05/31/2018 00:00:00","04/01/2018 00:00:00","مبنى المؤسسات العقابية و الاصلاحية","HQ Punishing & Correctional Institutions","","","55.50820827484131","25.151772120438185","","حملات توعية"
"Their Suhour Is On Us Initiative","سحورهم علينا 2018","مجلس شباب هيئة تنمية المجتمع","CDA Youth Council","05/17/2018 00:00:00","06/13/2018 00:00:00","06/13/2018 00:00:00","مساجد","Mosques","/StagingImages/EventsImages/f46e4288-45df-4b79-8837-b8cb2a382946.JPG","","55.26974334229749","25.238362683408145","","إجتماعي"
"Administrative organization","تنظيم إداري","مكتب الشؤون القانونية","legal office","04/20/2018 00:00:00","06/19/2018 00:00:00","04/20/2018 00:00:00","مكتب الشؤون القانونية بهيئة تنمية المجتمع - مباني الحضيبة للجوائز","legal office - cda","","","55.272253462982235","25.240559052355927","","إجتماعي"
"Art Workshop in the Rehabilitation of Clints","الورشة الفنية في تأهيل الحالات","مؤسسة دبي لرعاية النساء والأطفال","Dubai Foundation for Women and Children","04/15/2018 00:00:00","05/31/2018 00:00:00","04/10/2018 00:00:00","مؤسسة دبي لرعاية النساء والأطفال","Dubai Foundation for Women and Children","","","55.50835847854614","25.156501569609375","","الفنون والثقافة"
"Mawaed Al Rahman","مواعد الرحمن","شركة دو","du","05/19/2018 00:00:00","06/03/2018 00:00:00","05/18/2018 00:00:00","دبي والإمارات الشمالية","Dubai and Northern Emirates","/StagingImages/EventsImages/1638174020478.png","","55.2707828","25.2048493","","إجتماعي"
"child friends","أصدقاء الطفل","بشرى قائد","bushra qayed","06/24/2018 00:00:00","06/28/2018 00:00:00","06/21/2018 00:00:00","هيئة تنمية المجتمع","community development authoroty","","","","","","إجتماعي"
"Carnival of Smiles","مهرجان السعادة","نيلسن","Nielsen","06/21/2018 00:00:00","06/21/2018 00:00:00","06/20/2018 00:00:00","يونايتد برو سبورتس","United Pro Sports, Al Quoz, Dubai","","","55.222856","25.1191009","","احداث تجارية"
"Iftar distribution during Ramadan","توزيع الافطار في رمضان","حمدان احمد بن دلموك","Hamdan Ahmad bin Dalmook","05/16/2018 00:00:00","06/17/2018 00:00:00","05/16/2018 00:00:00","مسجد مريم بنت محمد, منطقة محيصنة 2, دبي. الامارات","Maryam bin Mohammed Mosque, Muhaisnah 2, Dubai, UAE","","","55.422393679618835","25.27489401435353","","الاعمال الخيرية"
"The International Congress and Convention Association.","الجمعية الدولية للمؤتمرات والاجتماعات","آمنة الرئيسي","Amna Alraeesi","11/11/2018 00:00:00","11/14/2018 00:00:00","11/07/2018 00:00:00","(مركز دبي التجاري العالمي)","Dubai World Trade Centre","","","55.28692483839404","25.222582175826368","","مؤتمر"
"Yestahloon – for Labourers","يستاهلون - للعمال","قطاع التراخيص والرقابة في هيئة تنمية المجتمع – دبي","Regulatory and Licensing Sector in Community Development Authority – Dubai","05/18/2018 00:00:00","06/15/2018 00:00:00","05/18/2018 00:00:00","مواقع السكن للعمال في دبي","Different Labouers Accommodation in Dubai","","","","","","الاعمال الخيرية"
"A safe Ramadan 7","رمضان أمان 7","جمعية الاحسان الخيرية","Al Ihsan Charity Association","05/17/2018 00:00:00","06/15/2018 00:00:00","05/17/2018 00:00:00","موقع جمعية الاحسان الخيري عجمان","http://www.ramadanaman.com/intro.php","/StagingImages/EventsImages/01514472-c02c-450f-a108-6b11c0b8008a.png","","55.2707828","25.2048493","","الاعمال الخيرية"
"Iftar Ramadan with the elderly at the Thuker Social Club”","فعالية افطار مع كبار السن في نادي الذخر","شركة فديكس","FedEx Express","05/20/2018 00:00:00","05/20/2018 00:00:00","05/20/2018 00:00:00","نادي ذخر الاجتماعي في دبي","Thukher Social Club in Al Barsha - Dubai","","","","","","إجتماعي"
"Test Event","التجربة","مناح","Monah","05/31/2018 00:00:00","05/31/2018 00:00:00","05/31/2018 00:00:00","دبي","Monah","/StagingImages/EventsImages/1527666450362.jpeg","","55.14034259999994","25.0805422","05/30/2018 00:00:00","إجتماعي"
"Carnival of Smiles","مهرجان السعادة","نيلسن","Nielsen","06/21/2018 00:00:00","06/21/2018 00:00:00","06/20/2018 00:00:00","يونايتد برو سبورتس","United Pro Sports, Al Quoz, Dubai","","","55.222856","25.1191009","","احداث تجارية"
"Mission to Seafarers","مهمة من أجل البحّارة","غرفة تجارة وصناعة دبي","Dubai Chamber of Commerce and Industry","06/03/2018 00:00:00","06/04/2018 00:00:00","06/03/2018 00:00:00","المكتب الرئيسي لغرفة دبي وخور دبي","Dubai Chamber Head Office and Dubai Creek","/StagingImages/EventsImages/MissiontoSeafarers.png","","55.31537890434265","25.260144015049665","","إجتماعي"
"DO GOOD LOCALLY","فعل جيد محليًا","فيلهلمسن خدمات السفن","WILHELMSEN SHIPS SERVICE","06/06/2018 00:00:00","06/06/2018 00:00:00","06/06/2018 00:00:00","جبل علي وبرشا هايتس","Jebel Ali and Barsha Heights","/StagingImages/EventsImages/dogoodlocaly.JPG","","55.17017034677383","25.083794855066024","","الاعمال الخيرية"
"Iftar Box","إفطار بوكس","أحمد الزعابي","Ahmed Al Zaabi","06/01/2018 00:00:00","06/14/2018 00:00:00","06/01/2018 00:00:00","مدينة دبي","Dubai","/StagingImages/EventsImages/1528611307225.jpeg","","55.270782800000006","25.2048493","06/10/2018 00:00:00","الاعمال الخيرية"
"RAMADAN KAREEM","رمَضَان كريم.","ون رود تاكسى","ONEROAD TAXI LLC","06/12/2018 00:00:00","06/13/2018 00:00:00","06/13/2018 00:00:00","دوار مركز التجارى","Trade Center Round about","/StagingImages/EventsImages/f29e434e-33e1-45eb-a87e-6d931abd8c86.jpg","","55.28807719584029","25.228393673229192","06/13/2018 00:00:00","إجتماعي"
"world drug control day","اليوم العالمي لمكافحة المخدرات","حليمة العميمي","halima alameemi","06/25/2018 00:00:00","06/27/2018 00:00:00","06/27/2018 00:00:00","دبي مول","dubai mall","/StagingImages/EventsImages/1529576598497.jpeg","","55.27956610000001","25.19969189999999","06/21/2018 00:00:00","إجتماعي"
"world drug control day","اليوم العالمي لمكافحة المخدرات","حليمة العميمي","halima alameemi","06/25/2018 00:00:00","06/27/2018 00:00:00","06/27/2018 00:00:00","دبي مول","dubai mall","/StagingImages/EventsImages/1529576598497.jpeg","","55.27956610000001","25.19969189999999","06/21/2018 00:00:00","حملات توعية"
"Ramadan Kharim","رمضان كريم","ون رود تاكسي ذم م","Oneroad Taxi LLC","06/10/2018 00:00:00","06/14/2018 00:00:00","06/09/2018 00:00:00","دوار المركز التجاري","Trade Center Round About","/StagingImages/EventsImages/deb16b17-f875-4763-932b-61764e62d229.jpg","","55.50835847854614","25.156501569609375","","إجتماعي"
"Ramadan Kharim","رمضان كريم","ون رود تاكسي ذم م","Oneroad Taxi LLC","06/10/2018 00:00:00","06/14/2018 00:00:00","06/09/2018 00:00:00","دوار المركز التجاري","Trade Center Round About","/StagingImages/EventsImages/deb16b17-f875-4763-932b-61764e62d229.jpg","","55.50835847854614","25.156501569609375","","إجتماعي"
" 2018 volunteer work","العمل التطوعي 2018","مركز المشاعر الإنسانية لرعاية وإيواء أصحاب الهمم","senses center for special needs","07/03/2018 00:00:00","12/31/2018 00:00:00","12/31/2018 00:00:00","مركز المشاعر","senses center","/StagingImages/EventsImages/1530514091104.png","","55.19250060000002","25.1365779","07/02/2018 00:00:00","أشخاص ذوي الإعاقة"
" Different Activity from Miss. Ankita Rane for the Clients","فعاليات متنوعة من قبل الآنسة أنتيكا راني للحالات","الآنسة أنتيكا راني","Miss. Ankita Rane","07/08/2018 00:00:00","07/12/2018 00:00:00","07/07/2018 00:00:00","مؤسسة دبي لرعاية النساء والأطفال","Dubai Foundation for Women and Children","/StagingImages/EventsImages/1530694690961.png","","55.50835847854614","25.156501569609375","07/04/2018 00:00:00","الفنون والثقافة"
"Join Us For The 5th Edition of Volunteer Emirates 2018 with Senses","إنضم إلينا في الدورة الخامسة من مبادرة 'التطوع في الإمارات' بالتعاون مع مركز المشاعر الإنسانية","دبي العطاء","Dubai Cares","06/30/2018 00:00:00","06/30/2018 00:00:00","06/30/2018 00:00:00","مركز المشاعر الإنسانية","Senses Residential and Day Care for Special Needs","https://api.cda.gov.ae/StagingImages/EventsImages/73461d95-7a02-4063-92d7-6eb6638251ed.JPG","","56.12653610705843","25.74407622289102","","إجتماعي"
"guidance for this generation","مبادرة توجيه هذا الجيل","المهندس محمد عبدالفتاح","Engineer Mohamad Abdulfatah","07/31/2018 00:00:00","07/31/2018 00:00:00","07/31/2018 00:00:00","الشارقة","sharjah","/StagingImages/EventsImages/1531024598198.png","","55.49926920000007","25.2892054","07/08/2018 00:00:00","الفنون والثقافة"
"CV Writing for DFWAC's clients from Huxley Company","ورشة عمل كتابة السيرة الذاتية لحالات المؤسسة من قبل شركة هوكسلي","شركة هوكسلي","Huxley Company","07/19/2018 00:00:00","07/19/2018 00:00:00","07/19/2018 00:00:00","مؤسسة دبي لرعاية النساء والأطفال","Dubai Foundation for Women and Children","/StagingImages/EventsImages/1531032897734.png","","55.50835847854614","25.156511280815376","07/08/2018 00:00:00","آخر"
"Volunteering Activity for DFWAC's Kids","فعالية تطوعية للأطفال في المؤسسة","دبل تري باي هيلتون دبي بيزنس باي","DoubleTree by Hilton Dubai Business Bay","07/23/2018 00:00:00","07/23/2018 00:00:00","07/23/2018 00:00:00","مؤسسة دبي لرعاية النساء والأطفال","Dubai Foundation for Women and Children","/StagingImages/EventsImages/1531116621175.png","","55.50835847854614","25.156511280815376","07/09/2018 00:00:00","آخر"
"Art Therapy Workshop","ورشة العلاج بالفن","لويس موريس","Louise Morris","07/17/2018 00:00:00","07/17/2018 00:00:00","07/17/2018 00:00:00","مركز المشاعر الإنسانية لرعاية وإيواء ذوي الاحتياجات الخاصة","Senses Residential & Day Care For Special Needs","/StagingImages/EventsImages/1531117368357.jpeg","","55.24525670000003","25.2016428","07/09/2018 00:00:00","إجتماعي"
"Art Therapy Workshop","ورشة العلاج بالفن","لويس موريس","Louise Morris","07/17/2018 00:00:00","07/17/2018 00:00:00","07/17/2018 00:00:00","مركز المشاعر الإنسانية لرعاية وإيواء ذوي الاحتياجات الخاصة","Senses Residential & Day Care For Special Needs","/StagingImages/EventsImages/1531117368357.jpeg","","55.24525670000003","25.2016428","07/09/2018 00:00:00","أشخاص ذوي الإعاقة"
"Art Therapy Workshop","ورشة العلاج بالفن","لويس موريس","Louise Morris","07/17/2018 00:00:00","07/17/2018 00:00:00","07/17/2018 00:00:00","مركز المشاعر الإنسانية لرعاية وإيواء ذوي الاحتياجات الخاصة","Senses Residential & Day Care For Special Needs","/StagingImages/EventsImages/1531117368357.jpeg","","55.24525670000003","25.2016428","07/09/2018 00:00:00","الفنون والثقافة"
"Art Therapy Workshop","ورشة العلاج بالفن","لويس موريس","Louise Morris","07/17/2018 00:00:00","07/17/2018 00:00:00","07/17/2018 00:00:00","مركز المشاعر الإنسانية لرعاية وإيواء ذوي الاحتياجات الخاصة","Senses Residential & Day Care For Special Needs","/StagingImages/EventsImages/1531117368357.jpeg","","55.24525670000003","25.2016428","07/09/2018 00:00:00","الأسرة والأطفال"
"Volunteering Activity for Women","فعالية تطوعية للنساء في المؤسسة","دبل تري باي هيلتون دبي بيزنس باي","Doubletree by Hilton Dubai Business Bay","07/25/2018 00:00:00","07/25/2018 00:00:00","07/24/2018 00:00:00","مؤسسة دبي لرعاية النساء والأطفال","Dubai Foundation for Women and Children","/StagingImages/EventsImages/1531118830606.png","","55.50835847854614","25.156511280815376","07/09/2018 00:00:00","الفنون والثقافة"
" Emergency Volunteer work Program: First Responder Workshop","برنامج التطوع الاسعافي ورش المستجيب الأول","مريم خميس عوفي","Maryam Oafi","07/18/2018 00:00:00","12/31/2018 00:00:00","07/18/2018 00:00:00","مؤسسة دبي لخدمات الاسعاف","Dubai Corporation for Ambulance Services","/StagingImages/EventsImages/1531824931815.jpeg","","55.463776999999936","25.1588548","07/17/2018 00:00:00","إجتماعي"
"Esefni","اسعفني","مريم خميس عوفي","Maryam Khamis Saeed Khalfan  Oafi","07/26/2018 00:00:00","12/31/2018 00:00:00","07/26/2018 00:00:00","مؤسسة دبي لخدمات الاسعاف","Dubai Corporation for Ambulance Services","/StagingImages/EventsImages/1532326233220.png","","55.46956176488334","25.164363306258192","07/23/2018 00:00:00","إجتماعي"
"selfcare program","برنامج رعاية الذات","فريال مسعود","feryal masood","07/29/2018 00:00:00","08/19/2018 00:00:00","07/26/2018 00:00:00","المؤسسات العقابية والاصلاحية","Dubai prison","/StagingImages/EventsImages/1532425284057.png","","55.265350341796875","25.23382678972842","07/24/2018 00:00:00","آخر"
"selfcare program","برنامج رعاية الذات","فريال مسعود","feryal masood","07/29/2018 00:00:00","08/19/2018 00:00:00","07/26/2018 00:00:00","المؤسسات العقابية والاصلاحية","Dubai prison","/StagingImages/EventsImages/1532425284057.png","","55.265350341796875","25.23382678972842","07/24/2018 00:00:00","إجتماعي"
"AOS Services 2018 Awareness Campaign","حملة توعية لخدمات قسم الرقابة على الطائرات 2018","حامد محمد المهدلي","Hamid Mohammed Al Mehdali","10/23/2018 00:00:00","10/23/2018 00:00:00","09/01/2018 00:00:00","دبي","Dubai","/StagingImages/EventsImages/1532505490141.png","","55.270782800000006","25.2048493","07/25/2018 00:00:00","حملات توعية"
